sample_id	cell_type	pathway_name	pathway_source	tier	score_type	mean	sd	median	n_cells	condition	timepoint_h	dataset	slide_id	n_set_genes	n_panel_genes	panel_coverage_frac
sam0005	Adipocyte	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	exploratory	UCell	0.498140714358078	0.0260386177101482	0.488618316569614	3757	MBRT_day6	144	Mutter_01	sld0001	44	10	0.2273
sam0006	Adipocyte	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	exploratory	UCell	0.49922596787885	0.02876326278921	0.488618316569614	2618	SBRT_4h	4	Mutter_01	sld0004	44	10	0.2273
sam0007	Adipocyte	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	exploratory	UCell	0.497454589595142	0.0273675656895813	0.488088935944944	1570	SBRT_day2	48	Mutter_01	sld0002	44	10	0.2273
sam0008	Adipocyte	HALLMARK_APICAL_SURFACE	MSigDB_Hallmark	exploratory	UCell	0.499014188564214	0.0264328787916241	0.489147697194283	3185	SBRT_day6	144	Mutter_01	sld0002	44	10	0.2273
sam0001	Adipocyte	HALLMARK_APOPTOSIS	MSigDB_Hallmark	exploratory	AMS	0.0435712623173756	0.147605447443479	0.0332200372049961	1393	Control	0	Mutter_01	sld0002	160	64	0.4
sam0002	Adipocyte	HALLMARK_APOPTOSIS	MSigDB_Hallmark	exploratory	AMS	0.0415976443651903	0.14583893316409	0.0290212105707395	678	MBRT_1h	1	Mutter_01	sld0004	160	64	0.4
sam0003	Adipocyte	HALLMARK_APOPTOSIS	MSigDB_Hallmark	exploratory	AMS	0.0503177883658267	0.147127880303195	0.0343567813640256	3003	MBRT_4h	4	Mutter_01	sld0004	160	64	0.4
sam0004	Adipocyte	HALLMARK_APOPTOSIS	MSigDB_Hallmark	exploratory	AMS	0.0357964901235677	0.140423920347201	0.0245547022946462	3027	MBRT_day2	48	Mutter_01	sld0001	160	64	0.4
sam0005	Adipocyte	HALLMARK_APOPTOSIS	MSigDB_Hallmark	exploratory	AMS	0.0136339477545564	0.131678273538362	0.00247749402866498	3757	MBRT_day6	144	Mutter_01	sld0001	160	64	0.4
sam0006	Adipocyte	HALLMARK_APOPTOSIS	MSigDB_Hallmark	exploratory	AMS	0.0500213049891669	0.149826779081993	0.0397423743660943	2618	SBRT_4h	4	Mutter_01	sld0004	160	64	0.4
sam0007	Adipocyte	HALLMARK_APOPTOSIS	MSigDB_Hallmark	exploratory	AMS	0.0524170508232626	0.14713768238214	0.0400739173023404	1570	SBRT_day2	48	Mutter_01	sld0002	160	64	0.4
sam0008	Adipocyte	HALLMARK_APOPTOSIS	MSigDB_Hallmark	exploratory	AMS	0.0133125078086575	0.134824391766354	0.00304894816432164	3185	SBRT_day6	144	Mutter_01	sld0002	160	64	0.4
sam0001	Adipocyte	HALLMARK_APOPTOSIS	MSigDB_Hallmark	exploratory	UCell	0.524617284065324	0.0147592177964867	0.523118188010899	1393	Control	0	Mutter_01	sld0002	160	64	0.4
sam0002	Adipocyte	HALLMARK_APOPTOSIS	MSigDB_Hallmark	exploratory	UCell	0.523899469408342	0.0145843912967879	0.522411444141689	678	MBRT_1h	1	Mutter_01	sld0004	160	64	0.4
sam0003	Adipocyte	HALLMARK_APOPTOSIS	MSigDB_Hallmark	exploratory	UCell	0.525074460054025	0.0146212783818222	0.523118188010899	3003	MBRT_4h	4	Mutter_01	sld0004	160	64	0.4
sam0004	Adipocyte	HALLMARK_APOPTOSIS	MSigDB_Hallmark	exploratory	UCell	0.523649186161962	0.013896463845106	0.521892029972752	3027	MBRT_day2	48	Mutter_01	sld0001	160	64	0.4
